Ptop TotalCurrent(iv_0.0_9) X,Ptop TotalCurrent(iv_0.0_9) Y
0,1.2646057e-19
0,-9.8219639e-22
0,-1.4314175e-17
0,-2.1747165e-17
0,-2.8104806e-17
0,-3.394912e-17
0,-3.9447652e-17
0,-4.4685859e-17
0,-4.9800627e-17
0,-5.4910515e-17
0,-6.0162307e-17
0,-6.5743783e-17
0,-6.5751636e-17
-0.5,-6.5129201e-17
-1,-6.4695057e-17
-1.5,-6.4439671e-17
-2,-6.4422713e-17
-2.5,-6.4808576e-17
-3,-6.5837201e-17
-3.5,-6.7832336e-17
-4,-7.1012556e-17
-4.5,-7.4927302e-17
-5,-7.8237051e-17
-5.5,-8.0002095e-17
-6,-8.0571496e-17
-6.5,-8.0480809e-17
-7,-8.0021565e-17
-7.5,-7.9352918e-17
-8,-7.8530156e-17
-8.5,-7.7581643e-17
-9,-7.6510226e-17
-9.5,-7.5220083e-17
-10,-7.3256136e-17
-10.5,-6.8816687e-17
-11,-5.5199269e-17
-11.5,-8.2731536e-18
-12,1.5591857e-16
-12.5,7.1940455e-16
-13,2.5953743e-15
-13.5,8.633624e-15
-14,2.7398638e-14
-14.5,8.3658769e-14
-15,2.4628259e-13
-15.5,6.991856e-13
-16,1.9134854e-12
-16.5,5.0448485e-12
-17,1.2801925e-11
-17.5,3.1231235e-11
-18,7.3127986e-11
-18.5,1.6397904e-10
-19,3.5107531e-10
-19.5,7.1495596e-10
-20,1.3790982e-9
-20.5,2.5100915e-9
-21,4.3011845e-9
-21.5,6.9411223e-9
-22,1.0581874e-8
-22.5,1.5320315e-8
-23,2.1198242e-8
-23.5,2.821434e-8
-24,3.6339293e-8
-24.5,4.5528627e-8
-25,5.573164e-8
-25.5,6.6896839e-8
-26,7.8974895e-8
-26.5,9.1920028e-8
-27,1.0569049e-7
-27.5,1.2024855e-7
-28,1.3556024e-7
-28.5,1.5159504e-7
-29,1.6832545e-7
-29.5,1.8572665e-7
-30,2.0377618e-7
-30.5,2.2245365e-7
-31,2.4174041e-7
-31.5,2.6161945e-7
-32,2.8207507e-7
-32.5,3.0309282e-7
-33,3.2465929e-7
-33.5,3.4676202e-7
-34,3.6938939e-7
-34.5,3.9253051e-7
-35,4.1617515e-7
-35.5,4.4031369e-7
-36,4.6493702e-7
-36.5,4.9003652e-7
-37,5.1560401e-7
-37.5,5.4163171e-7
-38,5.6811216e-7
-38.5,5.9503828e-7
-39,6.2240325e-7
-39.5,6.5020055e-7
-40,6.7842388e-7
-40.5,7.0706722e-7
-41,7.3612472e-7
-41.5,7.6559076e-7
-42,7.954599e-7
-42.5,8.2572686e-7
-43,8.5638654e-7
-43.5,8.8743399e-7
-44,9.1886438e-7
-44.5,9.5067304e-7
-45,9.8285542e-7
-45.5,1.0154071e-6
-46,1.0483237e-6
-46.5,1.0816011e-6
-47,1.1152351e-6
-47.5,1.1492217e-6
-48,1.1835569e-6
-48.5,1.218237e-6
-49,1.2532582e-6
-49.5,1.2886168e-6
-50,1.3243092e-6

